mjd,mag,magerr
51818.36,21.253302,0.9723478
51875.19,20.934654,0.29554224
52170.41,21.021797,0.24500562
52224.31,21.568298,0.2982808
52225.27,20.925875,0.21327648
52234.27,20.852308,0.17168996
52261.23,20.618912,0.14939745
52282.16,21.694881,0.40359595
52287.11,21.575315,0.88885945
52288.11,21.294825,0.308365
52522.41,21.217785,0.2658167
52551.38,21.272848,0.32624245
52557.4,21.017467,0.27406687
52558.41,21.432413,0.27287757
52576.25,21.465809,0.38820985
52578.29,20.925705,0.23845229
52585.25,20.620552,0.26033857
52908.38,21.693386,0.8463011
52910.39,21.386837,0.34471196
52912.36,20.846476,0.19363625
52934.31,21.97591,0.6079608
52936.3,21.105844,0.24634248
52963.24,21.495552,0.33394858
53270.37,21.728569,0.35103306
53272.42,21.485928,0.26559627
53286.39,21.346743,0.32974616
53288.35,21.763704,0.42520362
53296.34,20.884909,0.29475597
53302.34,21.368515,0.35446888
53314.3,21.01259,0.3118289
53622.42,21.469652,0.30516058
53628.36,22.115013,0.71315724
53635.37,21.587349,0.29152036
53637.37,20.877571,0.23369892
53638.41,21.38826,0.2912741
53639.41,21.42045,0.9345141
53640.37,21.418852,0.3628787
53641.41,21.707718,0.38238862
53655.34,21.526392,0.38402736
53663.43,21.838001,0.45184854
53665.33,21.35031,0.3490084
53665.43,21.797655,0.5589986
53666.42,21.070496,0.26631418
53668.34,21.113588,0.3171224
53668.42,21.54263,0.6172497
53669.33,21.702442,0.9318528
53669.43,21.357437,0.3895398
53671.41,21.154617,0.28361845
53673.32,21.175396,0.21799314
53674.31,20.839462,0.2732114
53675.31,21.401964,0.93909985
53676.4,20.872345,0.25307757
53677.33,21.455133,0.24787022
53680.32,21.969828,0.44264758
53681.36,21.342564,0.26064283
53683.38,21.379831,0.49828926
53697.32,20.940575,0.24774678
53698.32,20.932503,0.19465593
53704.31,21.395994,0.37292904
53975.39,21.29355,0.3465549
53989.4,22.208624,0.5947648
53994.41,21.602354,0.41060105
53995.44,21.048521,0.32100683
53996.4,21.666765,0.44313458
54000.38,21.261724,0.37718558
54008.36,21.133602,0.3377144
54009.35,21.17083,0.22136512
54010.35,20.972843,0.19236656
54011.42,21.018408,0.17825818
54020.35,20.951029,0.3457781
54024.43,21.687197,0.47660598
54025.41,20.532017,0.29385284
54029.42,22.027098,0.47408414
54030.34,21.278336,0.29504672
54030.38,21.186768,0.28013352
54031.33,21.331861,0.35824555
54035.42,20.972778,0.37379465
54036.34,21.8303,0.5812277
54037.33,21.171999,0.23058116
54039.33,21.343742,0.26702565
54040.34,21.07254,0.36280558
54048.33,21.641703,0.31320497
54049.37,21.116549,0.33791962
54053.35,21.368635,0.61753577
54055.34,21.041319,0.25274295
54056.33,21.232864,0.39862752
54058.33,22.275076,0.7832367
54059.33,21.703215,0.5914942
54060.35,21.626734,0.6961718
54062.33,21.692087,0.4823455
54068.31,21.507061,0.6242347
54346.41,21.124277,0.26081106
54355.42,20.830484,0.18119772
54362.42,20.951937,0.22198237
54365.4,21.219536,0.21555024
54381.42,21.742918,0.27630165
54382.4,21.837717,0.6576699
54384.43,21.626574,0.29606256
54385.42,21.8648,0.3939188
54386.41,21.349411,0.34616852
54392.41,21.206985,0.3021489
54393.42,21.095627,0.19617693
54394.4,21.060856,0.33470428
54405.39,21.635275,0.34781417
54406.32,21.923082,0.3670847
54411.28,21.964352,0.41313574
54412.35,22.508245,0.6237004
54415.34,21.085562,0.2128078
54416.32,20.932135,0.17915885
54417.33,21.753374,0.4581148
54418.33,21.625463,0.50828123
54421.33,21.149143,0.3391528
54424.27,21.612946,0.42802697
54433.33,21.129269,0.5562734
