mjd,mag,magerr
52197.26,19.991617,0.11027144
52231.15,19.99771,0.11717274
52552.26,20.197441,0.15586957
52557.26,19.921144,0.13623995
52558.27,20.036346,0.10471635
52577.16,20.440472,0.2357964
52578.16,19.818508,0.1078937
52586.16,19.946035,0.13909772
52929.19,19.8199,0.099025324
52931.17,19.943481,0.10766245
52934.17,19.998755,0.16768739
52935.17,20.096573,0.13586141
52936.16,20.038622,0.13405454
53270.23,20.039984,0.12149742
53272.28,19.939154,0.12233148
53286.24,20.04374,0.12628542
53288.2,20.061584,0.1122753
53294.23,20.023079,0.16232333
53302.2,19.814743,0.13287231
53312.15,20.063204,0.16287602
53314.15,19.778822,0.1063279
53623.25,22.70346,0.93936074
53626.24,20.062223,0.11590967
53628.22,20.214825,0.1550582
53635.23,20.101942,0.11146431
53636.23,20.322374,0.15408556
53638.26,20.042835,0.10731493
53654.25,20.183067,0.14639919
53663.21,20.154718,0.12111811
53666.19,19.956865,0.11098562
53668.2,20.033688,0.16957848
53669.18,20.201391,0.13656613
53670.2,20.60353,0.20063527
53671.27,19.747826,0.1672967
53673.17,20.20533,0.15329991
53674.17,19.716095,0.10277727
53675.17,19.953281,0.13156708
53676.26,20.155975,0.10509799
53677.19,20.154097,0.10847668
53679.23,20.376137,0.1992666
53680.18,20.200653,0.13895774
53681.22,20.338764,0.1268338
53685.18,19.737461,0.17256258
53693.18,20.154095,0.14660737
53697.18,20.467745,0.18739735
53700.18,20.152826,0.18768446
53704.16,20.217648,0.14513186
53705.16,20.130713,0.13672274
53975.25,19.736038,0.11696963
53989.26,19.97735,0.11713228
53993.32,19.908485,0.10058153
53995.25,20.056446,0.093185626
53996.26,19.882803,0.10437493
53998.22,19.86555,0.0894925
54000.23,19.938236,0.14500806
54005.25,19.970673,0.11196227
54007.28,19.934406,0.10356537
54008.21,19.962471,0.1196208
54009.21,19.69137,0.084454596
54010.21,19.947495,0.09954876
54011.27,19.836763,0.09432828
54012.2,19.87388,0.11021432
54019.22,19.942266,0.095756546
54020.21,19.803799,0.11615445
54022.26,19.799137,0.08632831
54025.27,19.755903,0.12272142
54028.2,19.903671,0.12961431
54029.2,19.921179,0.11161783
54030.2,20.044773,0.10994084
54031.19,19.78254,0.10716228
54035.28,20.400347,0.278635
54036.19,19.77443,0.13921063
54037.18,19.828936,0.12169388
54039.19,19.6618,0.09281553
54040.2,19.66759,0.11913983
54048.19,19.888426,0.092224546
54050.18,20.07324,0.30000636
54052.19,19.877678,0.17169759
54053.19,19.708233,0.1235776
54054.21,19.784813,0.18003155
54055.19,19.879225,0.11643608
54056.19,19.913,0.18195629
54058.18,19.897522,0.14146738
54059.18,19.984402,0.17305946
54060.21,19.835707,0.12717068
54061.2,19.799007,0.1099741
54062.19,20.324768,0.26200026
54063.18,19.965975,0.17655644
54068.18,19.453476,0.19624467
54348.26,20.160727,0.1724685
54357.23,20.2635,0.1839682
54362.28,20.105986,0.13024361
54365.26,20.15033,0.14122
54373.33,20.345633,0.27266
54376.29,19.780695,0.11003329
54379.27,19.926317,0.10287503
54382.27,20.064762,0.20305607
54385.28,19.80634,0.14278181
54386.27,19.954834,0.10778309
54387.28,20.022608,0.15938188
54393.26,19.925894,0.09512979
54394.26,20.557018,0.3363027
54402.27,20.50446,0.25632846
54403.19,19.850107,0.11148278
54404.19,20.048445,0.11213375
54406.18,20.00408,0.1350899
54407.19,20.040314,0.38297465
54411.14,20.146503,0.14638665
54412.18,20.047314,0.12225678
54413.18,20.111444,0.15844184
54416.18,19.953096,0.11657621
54418.18,20.11538,0.13071622
54419.18,19.907183,0.31743577
54421.19,20.273487,0.18138167
54422.19,20.161758,0.15652165
54425.18,20.497316,0.3902907
54431.19,20.332956,0.32071126
54433.19,20.058563,0.16182962
