mjd,mag,magerr
52196.32,20.287577,0.14543657
52196.33,20.408804,0.19512446
52197.33,20.12005,0.15490949
52225.18,20.313543,0.16304468
52231.22,20.502546,0.15541524
52522.33,20.184948,0.13745242
52552.33,20.77022,0.24367891
52557.32,20.360693,0.18601826
52558.34,20.31727,0.11165269
52577.22,20.204275,0.12621911
52578.22,20.288614,0.15845172
52586.23,20.48649,0.18673074
52908.3,20.413662,0.19150941
52910.31,20.25347,0.10587758
52931.24,20.18676,0.12709938
52935.23,20.32205,0.13201693
52936.23,20.306522,0.15473692
52959.18,20.48576,0.11715066
52962.15,20.804134,0.2675937
52963.16,20.320833,0.09754556
53270.29,20.160501,0.13623028
53272.34,20.428383,0.18190162
53286.31,20.5088,0.1832412
53288.27,20.546202,0.26710075
53294.31,20.202814,0.16029394
53302.26,20.501242,0.18556646
53312.22,20.48958,0.2388661
53314.22,20.29501,0.18769702
53352.13,20.191685,0.10472427
53623.31,20.979427,0.30460665
53626.3,20.340452,0.16765557
53628.29,20.097353,0.15525673
53638.33,20.22966,0.09892507
53639.33,20.328001,0.11571777
53654.31,20.235197,0.14435878
53663.27,20.29268,0.11676235
53664.29,20.39363,0.17437534
53665.25,20.375185,0.17711197
53666.34,20.217257,0.16542596
53668.26,20.707724,0.37224865
53669.25,20.242725,0.1139406
53670.27,20.161402,0.14668399
53671.33,20.375341,0.15541017
53673.24,20.65269,0.2227967
53674.23,20.312084,0.11272071
53675.23,20.251223,0.19421975
53676.32,20.284836,0.09583159
53677.25,20.211626,0.11519444
53679.29,20.396986,0.18740326
53680.24,20.117376,0.12294632
53681.29,20.435575,0.13402347
53685.24,20.45382,0.187085
53693.24,20.319626,0.15744552
53697.24,20.311184,0.11133318
53698.24,20.66184,0.2079866
53700.24,20.009882,0.13057417
53704.23,20.533901,0.24604453
53705.23,20.284445,0.10204096
53974.32,20.481247,0.1475569
53975.31,20.365463,0.13545644
53989.32,20.605808,0.22756416
53990.33,20.251635,0.15113679
53994.34,20.136555,0.10611126
53996.32,19.738396,0.1415866
53997.42,20.501911,0.18682876
53998.29,20.675985,0.15099986
54000.3,20.105516,0.18674755
54005.32,20.550781,0.12170222
54006.24,20.442614,0.22892593
54007.35,20.467096,0.19685984
54008.28,20.279078,0.11924317
54009.27,20.266382,0.1764104
54010.27,20.592987,0.1271989
54011.34,20.120054,0.14444694
54012.27,20.500214,0.15110427
54019.29,20.42859,0.15075374
54020.27,20.236633,0.17721722
54024.35,20.37362,0.2099554
54025.34,20.171244,0.187452
54029.27,21.103922,0.48056605
54030.27,20.38456,0.11064534
54031.25,20.54525,0.18124178
54035.34,20.66411,0.33612552
54036.26,20.40756,0.23818895
54037.25,20.378273,0.12042125
54039.26,20.666697,0.20544246
54040.26,20.48118,0.18317702
54048.25,20.142637,0.13287264
54049.29,19.96705,0.1780175
54052.25,21.015448,0.65047467
54053.25,20.270718,0.11886144
54054.27,20.177183,0.27827373
54055.25,20.396772,0.17589265
54056.25,20.376535,0.21361077
54058.25,20.76488,0.30155605
54059.25,20.417313,0.23937821
54060.27,20.172207,0.1528802
54062.25,20.231054,0.21247506
54063.24,20.14911,0.15614468
54068.23,20.016382,0.17795216
54348.33,20.337788,0.16455242
54357.29,20.361313,0.11000345
54359.28,20.388113,0.4616355
54362.34,20.536306,0.15752149
54365.32,20.264118,0.13674961
54379.33,20.29801,0.1353669
54381.34,20.142086,0.14109066
54382.32,20.355078,0.19459543
54384.35,20.251074,0.19289286
54385.34,20.283983,0.10466576
54386.33,20.302687,0.17308699
54387.34,20.465,0.16473074
54393.32,20.418333,0.14273052
54394.32,20.125269,0.14644448
54402.33,20.087694,0.13529164
54403.25,20.284502,0.27873608
54404.31,20.252773,0.14332372
54405.31,20.468147,0.173999
54406.25,20.215515,0.13560274
54407.25,20.462507,0.32352746
54411.21,20.138435,0.1203037
54412.25,20.236479,0.20096272
54413.25,20.358551,0.17020595
54416.24,20.31946,0.15468237
54417.25,20.74166,0.21564427
54418.25,20.221106,0.122912
54421.25,20.288054,0.22525717
54422.25,20.202282,0.15587233
54423.23,20.396738,0.17006628
54433.25,21.11189,0.69128656
