mjd,mag,magerr
51818.41,21.443651,0.11044885
51875.24,21.300928,0.11027811
52171.4,21.051115,0.08702314
52171.47,21.158997,0.09818124
52173.37,21.017986,0.09283556
52224.35,21.021336,0.07531128
52225.32,21.029428,0.083548784
52234.31,21.180746,0.10718766
52287.15,21.110727,0.07868305
52522.45,21.268885,0.12626773
52551.43,21.04853,0.10774864
52552.47,21.493492,0.10887399
52557.45,21.27104,0.08991345
52558.46,21.18881,0.09743973
52585.29,21.369305,0.12173516
52585.35,21.384937,0.08161428
52908.42,22.122122,0.18684223
52910.43,22.861628,0.54706925
52912.4,22.398354,0.26391712
52934.35,22.584202,0.30826536
52935.36,22.63122,0.3666324
52936.35,22.259207,0.19908352
52963.28,22.26805,0.23616737
53270.41,22.476658,0.1853361
53272.46,22.005241,0.20310664
53286.43,22.336103,0.27842146
53288.39,22.075361,0.21010007
53294.44,22.571072,0.28825387
53298.43,22.738903,0.3646261
53302.38,22.280212,0.30706152
53314.34,22.878763,0.5776083
53616.45,21.828836,0.19268052
53622.46,21.84668,0.14509253
53627.42,21.557484,0.15190792
53635.42,21.848242,0.31355718
53638.45,21.501896,0.27556276
53639.45,21.533888,0.15780878
53646.48,22.481293,0.39740255
53663.4,21.588924,0.38181087
53663.48,20.65742,0.27314365
53665.37,21.405561,0.21304923
53665.48,21.86451,0.57834667
53668.46,21.874777,0.49447736
53669.47,21.230984,0.27381265
53671.46,21.254454,0.1600731
53673.36,21.566748,0.11419557
53674.35,21.59865,0.24187654
53675.36,21.573553,0.13970074
53676.44,22.040154,0.41221187
53676.48,22.932398,0.69842196
53680.36,21.43564,0.10437047
53683.42,22.436443,0.30168322
53686.36,21.79917,0.33965054
53696.37,21.701845,0.30021244
53697.36,21.179865,0.16858655
53699.39,21.404947,0.17942601
53975.43,22.399832,0.2950532
53994.46,21.68448,0.18905573
53996.44,21.724524,0.29257095
53997.47,21.99299,0.15832475
54000.42,22.515533,0.36884037
54007.47,22.350267,0.21473272
54008.4,21.439257,0.34236607
54009.39,22.255138,0.14520626
54009.47,22.181387,0.24512015
54010.4,21.92386,0.18094559
54011.46,22.295752,0.16321917
54012.39,21.809114,0.3431354
54012.47,21.800762,0.20636992
54020.43,21.5199,0.34649503
54024.48,22.069334,0.49461034
54025.46,21.466928,0.29253873
54028.46,23.163876,0.7700184
54029.47,21.374308,0.18100081
54030.42,22.216831,0.26027986
54031.38,22.469366,0.19810571
54035.46,21.862946,0.3116992
54037.37,22.282568,0.25341368
54039.38,22.415651,0.2484337
54041.35,21.460897,0.20145719
54041.42,21.539265,0.1802329
54049.41,21.296865,0.3221098
54052.38,21.910759,0.28854367
54053.39,22.984802,0.85712016
54056.38,21.77158,0.22323261
54058.37,22.219961,0.36915553
54059.37,22.364677,0.52484417
54060.39,21.910292,0.34576014
54062.38,22.544933,0.39011768
54065.37,21.997429,0.23242436
54068.36,22.15263,0.5335948
54346.45,21.846155,0.34970126
54348.46,21.985598,0.22010721
54357.41,21.86911,0.2183003
54362.46,22.23708,0.24745743
54365.44,22.227762,0.15415229
54376.46,21.856766,0.26134348
54381.46,21.611044,0.1488902
54385.46,21.9899,0.28931034
54386.46,21.985413,0.20991004
54387.46,21.837233,0.3462123
54392.46,21.805843,0.15348116
54393.46,21.987402,0.28433433
54396.33,21.29898,0.38377324
54396.47,21.829082,0.44743428
54403.37,21.44503,0.46770236
54406.37,22.271948,0.24004003
54409.37,21.942873,0.15342917
54411.33,21.999779,0.34064013
54413.37,22.2538,0.48640952
54415.38,21.893034,0.19090396
54416.37,21.740757,0.13765208
54417.37,21.373547,0.13525641
54418.37,21.593546,0.22695132
54421.37,22.298416,0.44226062
54422.37,22.31108,0.54489255
54423.35,21.924038,0.20366524
54424.31,21.862192,0.3260577
