mjd,mag,magerr
52196.31,22.533466,0.29529566
52197.32,22.444931,0.27988225
52225.17,21.993782,0.18900765
52231.21,22.159061,0.18519183
52522.32,22.835033,0.49937147
52552.32,22.597498,0.41463244
52557.32,22.623713,0.3475482
52558.33,22.435549,0.36517632
52578.21,22.9765,0.46072719
52586.22,23.323843,0.6658945
52908.29,22.173183,0.24721007
52910.3,22.31728,0.23820835
52934.22,22.254082,0.3087568
52935.23,22.728607,0.4078102
52936.22,22.948105,0.4416858
52959.17,22.420794,0.28369325
52963.15,22.564425,0.24179287
53270.28,22.488304,0.28291702
53272.33,21.725977,0.2070029
53286.3,22.614433,0.3905504
53288.26,22.499018,0.38804105
53294.31,22.434326,0.3693474
53312.21,23.288889,0.97129595
53314.21,22.574783,0.3391576
53352.12,22.232298,0.21994747
53616.32,23.315626,0.6688552
53623.31,22.361233,0.24374658
53626.29,21.896755,0.20600903
53628.28,21.840076,0.4690874
53635.29,21.785948,0.33106616
53638.32,22.501694,0.37517726
53639.33,22.430542,0.33759344
53654.31,22.041895,0.23183708
53663.27,21.815495,0.3181272
53664.28,21.820206,0.44032165
53666.25,22.208963,0.30227754
53666.34,22.248327,0.6138653
53668.26,21.716467,0.28309375
53669.24,22.030376,0.24089803
53670.26,22.782375,0.41432872
53671.33,22.238731,0.5096193
53673.23,22.621763,0.3256626
53674.23,21.996841,0.2442705
53675.23,21.840096,0.19565319
53676.32,22.591642,0.45171914
53677.25,22.219421,0.20863968
53679.29,21.899721,0.2805818
53680.23,21.947554,0.18775496
53681.28,22.116737,0.2576297
53685.24,22.157396,0.84227276
53693.24,22.188623,0.6192658
53697.24,21.79585,0.20189892
53698.23,21.945162,0.22997016
53700.23,22.356817,0.44777223
53704.22,22.238403,0.2854461
53705.22,21.816628,0.1992605
53974.31,21.682241,0.21209438
53975.31,21.819363,0.23094144
53990.32,22.057528,0.47254533
53994.33,21.88682,0.188761
53996.31,21.904139,0.35729238
53997.41,22.999681,0.5339254
53998.28,22.335814,0.29773778
54000.29,22.419287,0.3511749
54005.31,22.3673,0.26210007
54007.34,23.00579,0.41037345
54008.27,22.671621,0.44320887
54009.27,22.085337,0.2659412
54011.33,22.535868,0.47527173
54012.26,22.353256,0.7132369
54019.28,23.091429,0.95341045
54020.27,21.36234,0.5893271
54025.33,21.713844,0.39391777
54029.26,22.66546,0.44107828
54030.26,22.316761,0.28244373
54031.25,22.36884,0.26268017
54035.33,21.449133,0.37439883
54036.25,23.186768,0.7741415
54037.24,21.90811,0.21570128
54039.25,22.12463,0.39711365
54047.29,21.424587,0.7792124
54048.24,22.861181,0.830127
54052.25,21.781086,0.37206763
54053.25,22.517475,0.38928446
54054.27,22.119785,0.5111544
54055.24,23.214163,0.59311837
54056.25,22.215714,0.6659967
54058.24,22.686829,0.50529563
54060.26,22.0894,0.3117068
54062.25,21.622272,0.31516227
54063.23,22.540735,0.37236822
54068.23,22.27766,0.91585165
54348.33,22.996227,0.6838796
54357.28,23.015371,0.5623429
54379.33,22.836985,0.6613606
54381.33,22.72768,0.37714174
54382.31,21.836851,0.3226854
54385.33,22.370718,0.356557
54386.33,23.179688,0.74707645
54387.33,22.705173,0.57049596
54393.32,22.184202,0.22770722
54394.32,22.497768,0.5808948
54403.25,22.086817,0.5624375
54405.3,22.766119,0.6376845
54406.24,22.507801,0.27902696
54411.2,22.760523,0.40783766
54421.24,23.274548,0.983222
54433.24,21.175768,0.32335594
