mjd,mag,magerr
51818.38,20.198212,0.1220053
52171.37,20.290915,0.11457154
52173.35,20.463999,0.17237312
52224.33,20.266008,0.1092051
52225.29,20.186668,0.11858869
52234.28,20.013155,0.10432366
52287.13,20.189852,0.10648411
52288.13,20.038954,0.10103126
52522.43,20.16123,0.12075327
52551.4,20.047161,0.10587359
52552.45,20.114286,0.12330714
52557.42,20.075058,0.11235401
52558.43,19.900948,0.08424675
52578.3,20.122387,0.11282524
52585.27,19.884537,0.11841056
52908.39,19.82665,0.08924508
52912.37,20.065386,0.1000577
52934.33,19.696333,0.091569565
52935.33,19.904722,0.11880294
52936.32,20.023184,0.11022741
52963.25,19.934856,0.08955844
53272.44,19.804369,0.08692188
53286.41,19.776075,0.078953825
53288.36,19.912115,0.08755724
53296.36,19.994612,0.12947218
53298.41,19.929897,0.11320267
53302.36,19.945631,0.08866969
53312.31,19.830229,0.12577532
53314.32,19.712065,0.09766677
53351.18,19.849413,0.0990156
53622.43,20.112759,0.09858231
53627.39,20.319391,0.11008693
53628.38,20.260572,0.15977274
53634.38,20.268305,0.14871585
53638.42,20.220154,0.11639269
53639.43,20.132685,0.08811831
53640.39,20.066494,0.09692233
53641.43,20.17814,0.11081947
53646.45,20.897696,0.2462415
53655.36,20.042515,0.10598449
53663.37,20.051653,0.11796315
53664.39,20.206537,0.139567
53665.45,20.06449,0.14893597
53668.36,20.433683,0.20091131
53669.34,20.053305,0.16728605
53669.45,20.14716,0.13770841
53670.44,20.110033,0.12889446
53674.33,20.094988,0.14026268
53675.33,20.033022,0.10507149
53676.42,20.07774,0.11452501
53677.35,20.177818,0.08464727
53679.39,20.188688,0.17801243
53680.34,20.021856,0.09194774
53681.38,20.425432,0.11021885
53683.4,20.284954,0.14659497
53686.34,20.075937,0.14174767
53697.34,20.165115,0.1182765
53699.36,20.251139,0.098891385
53700.34,20.177263,0.16338767
53705.32,20.165335,0.15023555
53975.41,20.125645,0.1347673
53989.42,20.375921,0.13773249
53994.43,20.137947,0.10870996
53996.42,20.159033,0.12616326
53997.44,20.215866,0.09606392
54000.39,20.157084,0.12976173
54008.38,20.172718,0.15676619
54009.37,20.23727,0.09135271
54009.44,20.35282,0.12326694
54011.43,20.256927,0.09634015
54012.36,20.296755,0.15486823
54012.45,20.392242,0.1301664
54020.4,20.185179,0.14550592
54024.45,20.165836,0.14065133
54025.43,19.745789,0.13793395
54028.44,20.127897,0.15534462
54029.44,20.244942,0.11292364
54030.39,20.059752,0.12080576
54031.35,20.207653,0.11107518
54035.44,19.897346,0.1397121
54036.35,20.107626,0.14553054
54037.34,20.28798,0.12007879
54039.35,20.098211,0.11384205
54041.32,20.074778,0.11449768
54041.39,20.070778,0.13072695
54049.38,20.155031,0.16235569
54052.35,20.01246,0.18036124
54053.36,20.280674,0.17174946
54056.35,20.209778,0.15186833
54058.35,20.27136,0.15372914
54059.35,20.13849,0.16848533
54061.36,19.97992,0.21513489
54062.35,20.007425,0.10922232
54065.34,20.368378,0.41693264
54068.33,19.846735,0.16502194
54346.43,20.102598,0.09827773
54348.43,20.01274,0.10371228
54357.39,20.076557,0.086026855
54362.44,20.0393,0.090973236
54365.42,19.880033,0.07651489
54376.43,20.050762,0.10498448
54382.42,20.149076,0.16501181
54384.45,20.18984,0.11229167
54385.44,20.439138,0.12356825
54386.43,20.049252,0.087482
54387.44,20.316507,0.22271134
54391.44,19.92468,0.2255372
54392.43,20.207949,0.1204714
54393.44,20.018848,0.11561662
54394.42,20.490198,0.236231
54396.3,19.736273,0.15997675
54396.44,20.581919,0.32424957
54403.35,19.976849,0.1131524
54406.34,20.309978,0.093165874
54409.35,20.245386,0.10849357
54411.3,20.071518,0.09310614
54412.37,20.172768,0.10562976
54413.34,20.146328,0.18647656
54416.34,20.336964,0.10612641
54418.34,20.33826,0.16219439
54421.35,20.100012,0.18884046
54422.35,20.236675,0.16652338
54423.32,20.34758,0.12150874
54424.28,20.162485,0.11300734
