mjd,mag,magerr
52170.43,22.720474,0.85393757
52171.37,22.691267,0.71235985
52173.35,21.631693,0.58773214
52224.33,22.508873,0.6432066
52225.29,21.670593,0.47852588
52234.28,20.615868,0.21340391
52261.25,22.086628,0.5220158
52287.13,21.679058,0.4502351
52288.13,21.869528,0.5562516
52522.43,22.55459,0.7483904
52551.4,21.08532,0.3093598
52552.45,21.472883,0.5202044
52557.42,21.463505,0.44892517
52558.43,22.375843,0.5889257
52578.3,21.413557,0.36071545
52585.27,21.27873,0.41327116
52908.39,21.791985,0.60815954
52934.33,20.842297,0.30449036
52935.33,20.90572,0.33173895
52936.32,21.561998,0.4516757
52963.25,21.193132,0.27502903
53270.39,21.74274,0.45054233
53272.44,21.290705,0.36085212
53286.4,21.115345,0.303492
53298.41,21.422457,0.45176005
53302.36,22.215649,0.53538096
53312.31,20.851992,0.39860052
53314.32,22.171679,0.7764316
53351.18,22.25764,0.75370175
53622.43,21.246845,0.29296908
53628.38,21.328745,0.48135307
53634.38,21.433542,0.43805087
53635.39,21.085627,0.256908
53638.42,21.136662,0.26266855
53639.43,21.715502,0.42464584
53640.39,21.509731,0.38512227
53641.43,21.164164,0.32909262
53646.45,21.914125,0.6025505
53655.36,21.56054,0.4323359
53663.37,21.295338,0.404587
53663.45,21.444191,0.45396927
53664.38,20.797115,0.24777779
53665.35,21.29823,0.36105752
53665.45,20.651007,0.25660744
53666.44,21.04936,0.33615464
53668.36,20.856302,0.36251247
53668.44,20.692854,0.4120536
53669.45,21.382141,0.5443159
53671.43,22.191647,0.7098334
53673.33,21.277403,0.27871695
53674.33,22.57466,0.8970035
53675.33,22.049503,0.66744936
53676.42,22.33283,0.6575082
53677.35,21.241432,0.2512425
53680.34,21.422773,0.36939305
53681.38,21.629,0.34007034
53683.4,21.416365,0.43822634
53686.34,21.30829,0.46753904
53697.34,21.518444,0.41477728
53699.36,22.078262,0.5680462
53700.34,20.836054,0.33638695
53705.32,21.201794,0.43121785
53975.41,20.971869,0.32800153
53989.42,21.330359,0.34189296
53994.43,21.801376,0.5239199
53995.46,21.586254,0.33130744
53996.42,21.221231,0.3186435
53997.44,21.202045,0.25517198
54000.39,20.825474,0.28619313
54007.44,22.2438,0.9793365
54008.38,21.753225,0.5844562
54009.37,21.572159,0.31735486
54009.44,21.3661,0.32920995
54010.37,21.427841,0.26426455
54011.43,21.067293,0.22473842
54012.36,22.132067,0.6280876
54012.45,20.985205,0.31039205
54024.45,20.795101,0.2933169
54025.43,22.738333,0.8975141
54028.44,21.257444,0.4335791
54029.44,21.194927,0.34888643
54031.35,21.383057,0.3480509
54035.44,21.372156,0.5564329
54036.35,21.807915,0.7153707
54037.34,21.21961,0.24463286
54039.35,21.777632,0.561238
54040.36,21.300838,0.36150503
54041.32,20.988262,0.2777331
54041.39,21.22829,0.38344464
54048.37,21.27705,0.3359242
54049.38,21.732834,0.67121124
54053.36,21.044159,0.39525348
54055.36,21.323029,0.50542927
54056.35,20.857624,0.29597506
54058.35,22.127596,0.9518772
54059.34,21.561731,0.6191091
54062.35,20.88439,0.26051784
54357.39,21.375593,0.30256447
54362.44,21.512001,0.35288918
54376.43,21.356598,0.3611091
54381.44,21.469872,0.38103065
54382.42,21.651009,0.674981
54384.44,21.041677,0.30931637
54385.44,21.216652,0.29459488
54386.43,21.193005,0.31614783
54387.44,20.499475,0.33873877
54391.44,20.829287,0.571055
54392.43,22.254866,0.8902305
54394.42,21.59906,0.8298073
54396.44,21.124397,0.551683
54411.3,21.165525,0.23457651
54413.34,21.059908,0.47727132
54415.35,21.377806,0.29905125
54417.34,21.13235,0.2964803
54418.34,20.756622,0.2860357
54424.28,21.575626,0.39875552
