mjd,mag,magerr
52197.36,20.651756,0.19065705
52225.21,20.54162,0.14292891
52234.21,20.536156,0.1320821
52522.36,20.588615,0.18913245
52552.35,20.454252,0.13659965
52557.35,20.464819,0.16537036
52558.36,20.429789,0.17797866
52577.25,20.326077,0.13695508
52578.25,20.401768,0.14712502
52586.25,20.388918,0.16777636
52908.32,21.1027,0.24691166
52910.33,20.558243,0.16456157
52931.26,20.528332,0.1675949
52935.26,20.572659,0.19302016
52936.25,20.790602,0.16811083
52959.2,20.554737,0.12588404
52963.18,20.460112,0.11893229
53270.32,20.511736,0.12476271
53272.37,20.435055,0.11939514
53286.33,20.88859,0.21409968
53288.29,20.563559,0.14097713
53294.34,20.300543,0.12497874
53298.34,20.527294,0.15703812
53302.29,20.42004,0.14228341
53314.25,20.186861,0.1433023
53352.16,20.329224,0.16089562
53626.33,20.495459,0.129074
53628.31,20.731125,0.19985555
53635.32,20.709877,0.1491296
53638.35,20.756966,0.19178349
53640.32,20.707651,0.16534594
53654.34,20.508797,0.14252852
53655.29,20.438585,0.19272994
53663.3,20.627861,0.15097019
53664.32,20.983643,0.33091122
53665.28,20.875496,0.1844188
53666.37,20.87587,0.21968664
53668.29,20.8234,0.23718458
53669.27,20.697527,0.16422784
53671.36,20.481636,0.17250545
53673.26,20.81523,0.15015922
53674.26,20.923473,0.24738671
53675.26,20.59945,0.18006879
53676.35,21.22192,0.23777501
53677.28,20.873838,0.13109288
53680.27,20.759623,0.14456378
53681.31,21.649223,0.31131595
53685.27,20.470533,0.17842902
53693.27,20.715246,0.20307007
53697.27,20.704147,0.16282372
53698.27,20.71049,0.1836524
53705.25,20.691227,0.15895593
53975.34,20.472557,0.16851884
53989.35,20.624397,0.17224923
53990.35,20.878487,0.26411742
53994.36,20.568443,0.15204808
53995.36,19.951849,0.12594852
53996.35,20.043049,0.21410473
54000.32,20.538452,0.23672608
54008.31,20.427656,0.14987504
54009.3,20.64921,0.16604629
54010.3,20.817158,0.1743005
54011.36,20.692936,0.13133596
54012.29,20.768291,0.20003782
54020.3,20.682442,0.25030184
54024.38,20.65858,0.23105793
54025.36,20.372898,0.33648467
54028.37,20.6861,0.2600392
54029.29,20.249336,0.17415836
54030.29,20.711252,0.1729506
54031.28,20.626822,0.16248055
54035.37,20.545656,0.22536841
54036.28,20.537666,0.21356101
54039.28,20.402655,0.14152178
54040.29,20.596306,0.22205448
54041.25,20.61103,0.1677062
54047.32,20.934992,0.49093845
54048.28,20.510504,0.1160631
54049.31,20.754797,0.29698342
54053.28,20.447927,0.14376193
54055.28,20.482965,0.16095482
54056.28,20.796139,0.30968827
54058.28,20.564598,0.24147037
54059.27,20.16616,0.18617952
54060.3,20.198242,0.15705095
54061.29,20.41849,0.21341333
54062.28,20.476313,0.19853643
54068.26,20.50556,0.22520626
54357.32,20.384296,0.11261626
54359.35,20.116222,0.17378727
54362.37,20.686937,0.17514071
54376.36,20.575727,0.1792218
54379.36,20.286665,0.1281601
54381.37,20.498714,0.11189833
54384.37,20.772568,0.18986745
54385.37,20.348934,0.09974208
54386.36,20.250648,0.27132094
54387.37,20.40864,0.17390768
54393.35,20.321493,0.10754286
54394.35,20.323599,0.19714847
54396.37,20.78369,0.38861346
54402.36,20.111544,0.15711588
54407.28,20.70841,0.35220113
54413.27,20.72174,0.2574936
54417.27,20.271475,0.12485536
54418.27,20.088865,0.12187371
54422.28,20.267542,0.16238092
54424.21,20.329988,0.12398539
54432.27,20.613792,0.4413073
