mjd,mag,magerr
52196.38,21.694307,0.12236252
52197.37,22.086288,0.16206098
52207.35,22.037666,0.12916578
52225.22,22.32353,0.17621529
52234.23,22.004568,0.1381314
52282.12,22.080042,0.16944697
52287.08,22.348713,0.24544254
52288.08,22.225,0.17793158
52522.38,22.645506,0.2530189
52551.35,21.973166,0.18801698
52552.39,22.227869,0.16074106
52557.37,22.530544,0.33938274
52576.21,22.033611,0.17755017
52577.27,21.847553,0.12300946
52578.26,21.98441,0.14585695
52908.34,21.552809,0.09697765
52912.32,21.986433,0.15313517
52934.28,21.741861,0.14937833
52935.28,21.713057,0.13710016
52936.27,22.00851,0.14689955
52963.2,21.833239,0.0969284
52971.19,21.972174,0.14526795
53272.39,21.701717,0.13886903
53286.35,21.834051,0.12492086
53288.31,21.764303,0.10878336
53298.36,21.861408,0.13703431
53314.26,21.62655,0.13383909
53352.17,21.717047,0.13797103
53626.35,21.778532,0.15416227
53628.33,21.75974,0.18790425
53635.34,21.834385,0.15840854
53637.33,21.856375,0.19812825
53638.37,21.789478,0.10961314
53639.38,22.011847,0.12094336
53640.34,21.991568,0.14675172
53641.38,21.64777,0.092915244
53654.36,21.802824,0.12694134
53668.31,21.640696,0.14267209
53673.28,21.87025,0.12309093
53675.28,21.709156,0.13689674
53676.37,22.161158,0.24825452
53677.3,21.99244,0.12705697
53680.29,21.831667,0.12311095
53697.29,22.001415,0.17358486
53698.29,21.934238,0.14638843
53975.36,21.890627,0.16425161
53990.37,21.455812,0.11559925
53994.38,21.817894,0.14761752
53995.38,21.774683,0.10574972
53996.36,21.54232,0.14996827
54000.34,21.973417,0.18205431
54007.39,21.480654,0.12683965
54008.32,21.910168,0.1444647
54009.32,21.765255,0.1122008
54010.32,21.657455,0.08833457
54011.38,22.04038,0.10965489
54012.31,22.153221,0.2664754
54020.32,21.933805,0.19579005
54025.38,22.128242,0.28052807
54028.39,21.54681,0.19054036
54029.31,21.518625,0.13173261
54030.31,21.866512,0.11224744
54031.3,21.80945,0.14648634
54036.3,21.609472,0.16676088
54039.3,21.583664,0.13718455
54040.31,21.74026,0.1741825
54041.27,21.449997,0.12816732
54048.3,21.640062,0.10336397
54052.3,21.349539,0.15584955
54053.3,21.484825,0.10677429
54055.3,21.387545,0.10696369
54056.3,21.706367,0.1806689
54058.29,21.471453,0.14915137
54059.29,21.69986,0.16348481
54060.32,21.72049,0.12588094
54061.31,21.910084,0.23711264
54062.3,21.723972,0.13386478
54348.38,21.74717,0.15985323
54357.34,21.571802,0.08962065
54359.37,21.777401,0.16747566
54362.39,21.84614,0.11821528
54365.37,21.602535,0.088876456
54376.38,21.651861,0.11464088
54381.39,21.561518,0.10428295
54382.37,21.643635,0.18828279
54384.39,21.402325,0.09053044
54385.39,21.729744,0.095252104
54386.38,21.542088,0.12358347
54387.39,21.347311,0.099738486
54392.38,21.529514,0.18456696
54393.39,21.563972,0.10616724
54394.37,21.619686,0.16854809
54402.38,21.404675,0.16167958
54404.36,21.576475,0.1334065
54405.35,21.699322,0.12567315
54406.29,21.462296,0.07646881
54407.3,22.03425,0.3218273
54411.25,21.529106,0.09586965
54412.32,21.774307,0.15303163
54415.3,21.579075,0.10161497
54416.29,21.590752,0.088019416
54417.29,21.725153,0.10952096
54418.29,21.613117,0.11497706
54421.3,21.571682,0.15294129
54422.3,21.477194,0.13163982
54423.27,21.650826,0.14579695
54424.23,21.699524,0.13504973
54433.3,21.410027,0.16891655
