mjd,mag,magerr
51818.35,21.738403,0.17499149
52170.4,22.068409,0.19365914
52173.31,23.174164,0.7604306
52196.4,22.05137,0.2578527
52207.36,22.012589,0.22586729
52224.29,21.891933,0.17570154
52225.26,21.968674,0.22162266
52231.28,21.66138,0.14966802
52234.25,22.189688,0.21733628
52261.21,21.856886,0.20360617
52282.14,21.77832,0.22055978
52287.09,22.18993,0.25048372
52288.09,21.678957,0.15640005
52522.39,22.035032,0.21236083
52551.36,22.034733,0.24866168
52552.41,22.343002,0.33703738
52557.39,22.283371,0.284299
52558.4,22.256947,0.24269654
52576.23,22.77445,0.41742605
52577.28,22.445415,0.31347898
52585.23,22.081144,0.22958452
52908.36,23.131174,0.5438543
52910.37,21.722467,0.18077305
52912.34,22.662779,0.43514165
52934.29,21.903887,0.24252564
52935.3,22.004894,0.24343406
52936.29,21.91186,0.16374192
52963.22,22.020891,0.16280876
52971.21,22.284748,0.29252252
53270.35,22.589912,0.38788596
53286.37,22.116531,0.29847962
53288.33,22.592657,0.3236225
53294.38,22.202948,0.32279074
53298.37,21.827957,0.23413292
53302.32,21.512117,0.30253738
53312.28,22.196743,0.50957245
53314.28,22.27366,0.31382474
53351.14,22.038616,0.22738059
53622.4,22.409384,0.3397525
53628.35,22.501453,0.70240295
53635.35,21.580791,0.25595978
53638.39,22.446558,0.44209698
53639.39,22.062145,0.24455601
53640.35,22.026228,0.22496618
53641.39,22.069542,0.262474
53646.41,22.67643,0.4089745
53655.33,21.692327,0.20642988
53663.34,22.639784,0.8318815
53665.42,22.210386,0.66520053
53666.41,21.386162,0.28764957
53668.33,22.326511,0.47749218
53669.31,21.97997,0.21198846
53669.41,22.145699,0.549493
53671.39,21.55845,0.2781444
53673.3,22.046032,0.20089564
53674.29,22.85436,0.7345644
53675.3,22.381975,0.30722827
53676.38,22.2347,0.36550292
53677.32,22.862375,0.39531747
53680.3,22.096388,0.22044894
53681.35,22.439056,0.3188415
53685.31,21.991657,0.32698426
53693.3,21.240456,0.3077937
53697.3,22.092705,0.33443612
53698.3,21.714558,0.20308721
53704.29,22.084736,0.3453832
53705.29,22.897606,0.61425084
53975.37,21.871922,0.21945979
53989.38,21.371534,0.3048252
53994.4,23.080181,0.6645915
53995.42,21.46883,0.193394
53996.38,22.472122,0.6812474
54000.36,22.157902,0.3535372
54007.41,22.249289,0.3556494
54008.34,21.880533,0.23488839
54009.33,22.231857,0.25858447
54010.34,21.931723,0.19102588
54011.4,21.872698,0.15876324
54012.33,22.143929,0.5648
54020.33,22.164097,0.49682584
54025.4,21.754261,0.34322366
54028.4,22.479826,0.5244727
54029.33,21.699408,0.20350921
54030.33,22.094858,0.22152916
54031.31,22.021553,0.18469635
54035.4,21.529894,0.32775703
54036.32,22.070395,0.3261997
54037.31,21.874218,0.19563346
54039.32,21.707287,0.21992086
54040.32,21.956678,0.39338154
54048.31,21.925852,0.3722789
54052.32,22.79669,0.9328337
54053.31,22.08412,0.2901011
54055.31,22.076847,0.35564178
54056.32,21.982567,0.33851355
54058.31,22.056446,0.3362343
54059.31,22.440659,0.5347251
54060.33,22.190887,0.39557025
54061.32,22.033072,0.56328374
54062.32,22.306055,0.32191336
54063.3,21.738337,0.20216608
54348.4,21.443752,0.1770143
54357.35,21.996687,0.19751665
54359.38,23.071627,0.8294165
54362.4,22.145628,0.24781731
54365.38,21.877922,0.21089704
54376.4,21.677511,0.20265737
54382.38,22.258917,0.43071428
54384.41,21.852703,0.25266388
54385.4,22.720427,0.46325743
54386.4,22.286554,0.38472122
54391.4,22.653225,0.9762753
54392.4,21.73705,0.29559317
54393.4,21.89178,0.21445826
54394.38,21.275473,0.21075247
54402.39,20.708483,0.27637118
54403.31,22.241632,0.9655881
54404.37,21.33097,0.2701091
54405.37,21.772755,0.44025436
54406.31,21.534323,0.17179796
54411.27,21.63132,0.16006155
54412.33,22.00285,0.34465542
54413.31,21.977217,0.3503822
54415.32,21.949373,0.22134565
54416.31,21.930046,0.22800459
54417.31,22.018055,0.21661139
54418.31,22.017387,0.31915483
54421.31,21.96261,0.30997413
54422.31,21.525202,0.23781367
54423.29,21.779589,0.3425802
