mjd,mag,magerr
52196.29,21.045837,0.08790761
52225.16,20.784275,0.06445592
52522.31,20.77626,0.09570056
52557.3,20.78782,0.09588111
52577.2,20.93381,0.08469922
52578.2,20.746025,0.068194374
52910.28,20.782467,0.068749346
52930.17,20.793438,0.09300799
52931.21,20.863585,0.07862882
52934.21,20.749828,0.091744535
52935.21,20.813936,0.0773499
52936.2,20.924562,0.078174435
52962.13,20.773533,0.07559884
52963.13,20.791836,0.05821213
53270.27,20.607456,0.06082814
53286.28,21.178316,0.11552761
53288.24,20.54548,0.06098156
53302.24,20.780313,0.16940892
53312.19,20.509539,0.08278182
53314.2,20.466934,0.061526325
53352.1,20.66918,0.059400402
53622.31,20.8946,0.09104035
53623.29,20.833712,0.06945822
53626.28,21.39121,0.14320667
53628.26,20.4956,0.17395435
53639.31,20.513254,0.07324079
53654.29,20.634699,0.06505465
53663.25,20.603489,0.11131284
53665.23,21.931242,0.3202917
53666.23,20.750328,0.08703741
53668.24,20.54095,0.084410876
53669.22,20.664915,0.060711037
53670.25,20.690264,0.07365419
53671.31,20.622032,0.10014546
53674.21,20.494102,0.06918845
53676.3,20.63828,0.08146943
53677.23,20.750996,0.06290929
53680.22,20.670328,0.07462353
53693.22,20.62253,0.15542278
53697.22,21.279625,0.11773726
53700.22,20.697897,0.079585195
53704.2,20.700632,0.07238725
53705.2,20.568893,0.06987164
53974.3,20.47443,0.076048054
53975.29,20.74568,0.10635655
53989.3,21.358355,0.25836736
53993.36,21.195618,0.15398607
53996.3,20.28668,0.09159729
53997.39,20.835257,0.08440873
54005.29,21.141796,0.07933587
54007.32,21.003431,0.09475832
54008.26,20.872152,0.097241424
54009.25,20.792461,0.085941225
54010.25,20.786047,0.08928966
54011.31,20.838425,0.10926814
54019.26,20.83799,0.11515807
54020.25,20.868244,0.14534275
54024.33,21.176619,0.14774029
54025.31,20.2585,0.098012514
54028.24,20.8109,0.08662038
54029.24,20.865875,0.09105819
54030.24,20.870663,0.08938744
54031.23,20.903133,0.08631184
54035.32,20.811365,0.15011528
54036.23,20.809227,0.0877842
54039.23,20.965744,0.14020753
54040.24,20.345499,0.12710118
54047.27,20.722357,0.3032187
54048.23,20.841572,0.11689478
54052.23,21.598759,0.25687647
54054.25,21.107922,0.21723376
54055.23,20.963802,0.11009198
54056.23,20.834597,0.16623251
54058.23,20.644678,0.08999635
54059.22,20.678741,0.15117545
54060.25,20.65605,0.09129047
54062.23,20.788273,0.13850762
54063.22,20.54178,0.0950874
54348.31,20.985407,0.12153254
54357.27,20.786814,0.084134236
54365.3,20.868328,0.12023713
54379.31,20.988115,0.1157146
54381.32,20.868397,0.08038174
54382.3,20.922085,0.13228925
54385.32,20.62783,0.08589781
54386.31,20.77881,0.09004113
54387.32,20.867773,0.1115883
54393.3,20.743326,0.081181556
54394.3,20.938822,0.19347683
54402.31,20.617632,0.23764957
54403.23,20.681099,0.14783
54404.29,20.768433,0.1318431
54405.28,20.851984,0.12914546
54406.22,20.760008,0.07428414
54407.23,20.662926,0.14555755
54411.18,20.890709,0.08699202
54412.23,20.637299,0.1002704
54413.22,20.826502,0.09514904
54416.22,20.596706,0.0650276
54417.22,20.770311,0.08592712
54418.22,20.822512,0.08182965
54421.23,20.829172,0.10605606
54422.23,20.936758,0.14749159
54423.2,20.726513,0.15855008
54433.23,20.483997,0.18243279
