mjd,mag,magerr
52196.3,21.465412,0.13093594
52197.32,21.192654,0.12476484
52225.17,21.435648,0.1230239
52231.2,21.336401,0.10479555
52557.31,21.342178,0.15039073
52558.32,21.38485,0.16697888
52577.21,21.275574,0.11371633
52578.21,21.2986,0.14540821
52586.21,21.446291,0.12904844
52908.28,21.426395,0.143631
52910.29,21.693737,0.13920839
52930.18,21.771723,0.2532845
52931.22,21.639095,0.1881685
52934.22,21.21003,0.1436379
52935.22,21.6401,0.15577464
52936.21,21.714077,0.14319767
52959.16,21.812307,0.14174256
52963.14,21.510984,0.11206552
53270.28,21.716778,0.19118235
53272.33,21.166336,0.13714665
53286.29,21.371344,0.15101695
53288.25,21.554705,0.15588829
53302.25,21.809387,0.4140037
53312.2,21.712729,0.25947788
53314.21,21.576551,0.15434645
53352.11,21.623116,0.1358169
53623.3,21.832321,0.17636853
53626.29,21.598871,0.16130988
53628.27,20.97823,0.22438085
53635.28,21.194788,0.18783978
53636.28,21.73034,0.38124263
53638.31,21.25748,0.13648129
53639.32,21.709663,0.19491746
53654.3,21.245443,0.13144113
53663.26,21.874123,0.38105017
53664.27,21.560167,0.33150682
53666.24,21.479977,0.1641346
53668.25,21.266016,0.21023072
53669.23,21.085058,0.09081225
53670.25,21.403257,0.13408826
53671.32,21.168995,0.1950269
53673.22,21.326303,0.1274154
53674.22,21.317223,0.15411083
53675.22,21.210651,0.12466559
53676.31,21.445604,0.19301215
53677.24,21.346766,0.11678239
53679.28,21.156801,0.15429582
53680.23,21.127481,0.10375104
53681.27,21.37275,0.15059714
53693.23,21.21321,0.2506177
53697.23,21.611673,0.1690187
53698.23,21.791912,0.22247185
53700.23,21.516155,0.20993608
53704.21,21.028736,0.11774526
53705.21,21.181366,0.14082699
53974.31,21.204836,0.13783011
53975.3,21.190517,0.14232148
53989.31,21.277689,0.31644118
53993.37,21.265308,0.16799602
53994.32,21.218243,0.11926954
53996.31,20.86783,0.14154531
53997.4,21.39806,0.19086246
54000.28,21.40219,0.18449847
54005.3,21.2944,0.11710989
54007.33,21.09105,0.12169579
54008.27,21.053766,0.12712768
54009.26,21.206886,0.13111426
54011.32,21.251877,0.14946122
54012.25,21.612919,0.38644028
54020.26,21.30715,0.7051
54024.34,21.360659,0.2223484
54025.32,21.206074,0.23764779
54028.25,21.3455,0.15346709
54029.25,21.367208,0.18398504
54030.25,21.28156,0.1259646
54031.24,21.296873,0.12040698
54035.33,21.546492,0.38816062
54036.24,21.61417,0.2881335
54037.23,21.25309,0.13853717
54039.24,21.696314,0.26122183
54040.25,21.33649,0.30873314
54049.27,21.633049,0.5333382
54053.24,21.386284,0.16339816
54054.26,21.270842,0.30361637
54056.24,21.32475,0.22213638
54058.24,21.496952,0.21002832
54059.23,21.764849,0.42791077
54062.24,21.069828,0.20257789
54063.23,21.502274,0.1637115
54068.22,21.02424,0.30385432
54348.32,21.051134,0.13267884
54357.28,21.23415,0.1342828
54359.27,21.074648,0.20627816
54362.33,20.96912,0.14358096
54365.31,20.995447,0.10550104
54373.38,20.73088,0.23211496
54379.32,21.383366,0.15978576
54381.33,21.72632,0.20852163
54382.31,21.31052,0.20673423
54385.33,21.280262,0.15857202
54386.32,21.129604,0.13884588
54387.33,20.857363,0.13851131
54393.31,21.234013,0.13002661
54394.31,20.95822,0.17293651
54402.32,21.278416,0.41880268
54403.24,21.397736,0.29391646
54404.3,21.49043,0.24078596
54405.29,21.173988,0.1596999
54406.23,21.176498,0.10453749
54407.24,21.110346,0.26985198
54412.23,21.963923,0.45669857
54413.23,21.15579,0.16752917
54416.23,21.13145,0.09966719
54417.23,21.390846,0.1497024
54418.23,21.115246,0.11892253
54421.24,21.318724,0.19230933
54422.24,21.27709,0.19335277
54423.21,21.058826,0.19213454
54431.24,21.052376,0.55608714
54433.24,21.146284,0.30583575
