mjd,mag,magerr
52196.28,21.202736,0.10367438
52197.3,21.283337,0.10380035
52225.15,21.239517,0.08141412
52231.18,21.262793,0.091335386
52552.3,21.303333,0.10436403
52557.29,21.372551,0.12311408
52558.3,21.16108,0.09876007
52577.19,21.21416,0.10252982
52578.19,21.287447,0.090654075
52586.19,21.120737,0.10016321
52908.27,21.242685,0.11480395
52910.28,21.435118,0.096371636
52911.28,21.551987,0.13434628
52930.16,21.587877,0.15504904
52931.21,21.220564,0.10261627
52934.2,21.49699,0.12227272
52935.2,21.52207,0.13256036
52936.19,21.231915,0.09889471
52959.15,21.32186,0.10550369
52962.12,21.736736,0.13810745
52963.13,21.367716,0.08967155
53270.26,21.122118,0.099889874
53286.28,21.488306,0.16130294
53288.24,21.245085,0.097690955
53294.26,21.382921,0.14623708
53302.23,21.402311,0.27983722
53312.19,21.207832,0.13267538
53314.19,21.29247,0.11496805
53352.1,21.288385,0.090896554
53623.28,22.08938,0.2081708
53626.27,21.464537,0.15030594
53628.25,21.475695,0.34602866
53636.26,21.595085,0.24420454
53638.3,21.473923,0.15006374
53639.3,22.088936,0.24067982
53654.28,21.662502,0.13596669
53663.24,21.339169,0.20955151
53664.26,22.658192,0.8900201
53666.22,21.386747,0.13898072
53668.23,21.523066,0.21418026
53669.22,21.334402,0.11031279
53670.24,21.488375,0.12373655
53671.3,21.218977,0.18742692
53673.2,21.64009,0.15770672
53674.2,21.415403,0.12435559
53676.29,21.543856,0.22431055
53677.22,21.597147,0.10912281
53680.21,21.36186,0.11820313
53681.25,21.423628,0.10834407
53693.21,21.443739,0.3327505
53697.21,22.127476,0.27093858
53700.21,21.262035,0.1200795
53704.19,21.214556,0.1054223
53705.2,21.445118,0.14481872
53974.29,20.699932,0.09855777
53975.28,20.977028,0.11111429
53989.29,21.194214,0.21679117
53993.35,20.888393,0.22639987
53996.29,20.597755,0.1212452
53997.39,21.25913,0.1336183
53998.26,21.281387,0.1090109
54000.27,20.945185,0.11730441
54005.29,21.273094,0.094928056
54007.32,21.769878,0.1415808
54008.25,21.190338,0.10335666
54009.24,21.386377,0.14451131
54010.24,21.327919,0.1394837
54011.3,21.509903,0.15760022
54012.23,22.061253,0.55455166
54019.26,21.447893,0.20931989
54020.24,21.833998,0.25639805
54022.29,21.194012,0.18623435
54024.32,21.379055,0.19184537
54025.3,20.815807,0.2228644
54028.23,21.499228,0.11938752
54029.23,21.349152,0.11730448
54030.23,21.291607,0.10602035
54031.22,21.674328,0.12532829
54035.31,21.84224,0.25583342
54036.23,21.227678,0.13417725
54037.22,21.446213,0.16262348
54039.22,21.233532,0.17989376
54040.23,21.434975,0.31634647
54047.26,21.149231,0.5623951
54048.22,21.305712,0.1701545
54049.26,21.110086,0.22675675
54050.21,21.893913,0.38199452
54052.22,21.283606,0.17243244
54053.22,21.423166,0.1214561
54054.24,21.722387,0.33780345
54055.22,21.782312,0.19013385
54056.22,21.770906,0.27434924
54058.22,21.299961,0.14809653
54059.22,21.379345,0.16610846
54060.24,21.19278,0.12591667
54062.22,21.792088,0.2883347
54063.21,21.202978,0.15306678
54348.3,21.35968,0.12488458
54357.26,21.205462,0.11714813
54362.31,21.876675,0.44452962
54365.29,21.2535,0.16849679
54373.36,20.954315,0.3062827
54379.3,21.147898,0.10546074
54381.31,20.95021,0.09560237
54385.31,21.2759,0.1258333
54386.3,21.24682,0.11690351
54387.31,21.666594,0.17861901
54393.29,21.17387,0.082883954
54394.29,21.760618,0.3998035
54402.3,21.635502,0.5695765
54403.22,21.140518,0.19789748
54404.28,20.978466,0.15316299
54405.28,21.147196,0.1440328
54406.21,21.55889,0.12268449
54407.22,21.343863,0.27660328
54411.17,21.301083,0.086642824
54412.22,21.133024,0.18254182
54413.21,21.294384,0.11163557
54416.21,21.185087,0.10533064
54418.21,21.632044,0.11412804
54421.22,21.133993,0.14747946
54422.22,20.88642,0.13468955
54423.2,21.394081,0.30662343
54431.22,19.992619,0.35073796
54433.22,21.361992,0.29523355
